y_true,s_pred,s_conf,if_score,low_conf,if_outlier,if_inlier,h_pred,is_partial,bu_mask,y_bu,s_bu,h_bu,s_correct,h_correct,s_bu_correct,h_bu_correct
Denial of Service (DoS),Denial of Service (DoS),1.0,0.37785519392407213,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.38662112768433116,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3791000720973702,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.3709681809744532,0,1,0,Benign,0,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3531456408490731,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3952295760512303,0,0,1,Benign,0,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3773446110480042,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Brute Force (Medusa),Brute Force (Medusa),1.0,0.3056294382934411,0,1,0,Brute Force (Medusa),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3968007992761906,0,0,1,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.39382625802001836,0,0,1,Benign,0,1,0,0,0,1,1,1,1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,0.96,0.16863850555152193,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Brute Force (Medusa),Brute Force (Medusa),1.0,0.30602844913011057,0,1,0,Brute Force (Medusa),1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.30248136195584086,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.35572938546909916,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Brute Force (Medusa),Brute Force (Medusa),1.0,0.23286090180687535,0,1,0,Brute Force (Medusa),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.32562824412313646,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.3785435784495874,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Brute Force (Medusa),Brute Force (Medusa),1.0,0.3056294382934411,0,1,0,Brute Force (Medusa),1,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3107900270639696,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.30780192719949834,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.37129290801266207,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Brute Force (Medusa),Brute Force (Medusa),1.0,0.30602844913011057,0,1,0,Brute Force (Medusa),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,0.91,0.3709761691300023,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.35603124986580525,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14675213268598797,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.38167591547258306,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.2757618687696053,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.39216800304593064,0,0,1,Benign,0,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3107900270639696,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.39685453226936834,0,0,1,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.33839050402069537,0,1,0,Benign,0,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.3246058175016481,0,1,0,Benign,0,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3531456408490731,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,0.94,0.3903944531353205,0,0,1,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.37517369652414073,0,1,0,Benign,0,1,0,0,0,1,1,1,1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.2667332235939976,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3791000720973702,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3568699629595032,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.36255300993944867,0,1,0,Benign,0,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.1447830964465634,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.2667332235939976,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.39685453226936834,0,0,1,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.4089336791289098,0,0,1,Benign,0,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3531291574042064,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.12446846954574364,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.38167591547258306,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.37796144662923326,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.33606322906266706,0,1,0,Brute Force (Hydra),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.30274425703507357,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.38396615856337074,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,0.98,0.3372435739340681,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.35002022134315675,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.15848674372004046,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.36995581766215113,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3987936729823289,0,0,1,Benign,1,1,0,0,0,1,1,1,1
Brute Force (Medusa),Brute Force (Medusa),1.0,0.27348269918219437,0,1,0,Brute Force (Medusa),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3602707215625395,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.38879645348156194,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,0.96,0.3819797969648802,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.3502569407252681,0,1,0,Brute Force (Hydra),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.35652487313137826,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34365402965569275,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3751809176689757,0,1,0,Benign,0,1,0,0,0,1,1,1,1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34365402965569275,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34365402965569275,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.33452353194253265,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Brute Force (Hydra),Brute Force (Hydra),0.7,0.3067801701260852,1,1,0,Brute Force (Hydra),0,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.417063534405449,0,0,1,Benign,0,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3902342507556527,0,0,1,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.35745653573453945,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.35242545417722665,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34713789604440626,0,1,0,Brute Force (Hydra),0,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.3325762479436078,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3791000720973702,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.1462100524094666,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34365402965569275,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3815868606798495,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.35994754736357737,0,1,0,Benign,0,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.39913185781717375,0,0,1,Benign,1,1,0,0,0,1,1,1,1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.3325762479436078,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3844628516810696,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.4078187430293039,0,0,1,Benign,0,1,0,0,0,1,1,1,1
Brute Force (Medusa),Brute Force (Medusa),1.0,0.1259583550849498,0,1,0,Brute Force (Medusa),1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3849095464013436,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.35065760581837246,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.4041107779741726,0,0,1,Benign,1,1,0,0,0,1,1,1,1
Brute Force (Medusa),Brute Force (Medusa),1.0,0.3454101653068493,0,1,0,Brute Force (Medusa),0,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.36811944661448326,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.38343144524934786,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.3791000720973702,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.1462100524094666,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.33452353194253265,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.3325762479436078,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.36128494936569416,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.37067459733797886,0,1,0,Benign,0,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.34863558285241364,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.15848674372004046,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34713789604440626,0,1,0,Brute Force (Hydra),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3959547149676927,0,0,1,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.36067208590369737,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.33452353194253265,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.37589308373305413,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.38396615856337074,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3107900270639696,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.34731512738652603,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34365402965569275,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3791000720973702,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.37504421661812787,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.3923903017060819,0,0,1,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34365402965569275,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Brute Force (Medusa),Brute Force (Medusa),1.0,0.3056294382934411,0,1,0,Brute Force (Medusa),1,0,-1,-1,-1,1,1,-1,-1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34713789604440626,0,1,0,Brute Force (Hydra),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.382086623831204,0,1,0,Benign,0,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.27509384057500197,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.33452353194253265,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3107900270639696,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.36180332330281906,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Brute Force (Medusa),Brute Force (Medusa),1.0,0.3056294382934411,0,1,0,Brute Force (Medusa),1,0,-1,-1,-1,1,1,-1,-1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34365402965569275,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,0.99,0.34177123639464546,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.370952520766637,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.1462100524094666,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3386889624182187,0,1,0,Benign,0,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.3889909640840748,0,1,0,Benign,0,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.33452353194253265,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.3502569407252681,0,1,0,Brute Force (Hydra),0,0,-1,-1,-1,1,1,-1,-1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34365402965569275,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3623906359806247,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.3690938960881928,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.16285678006326954,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.3698420479671647,0,1,0,Benign,0,1,0,0,0,1,1,1,1
Brute Force (Medusa),Brute Force (Medusa),1.0,0.3056294382934411,0,1,0,Brute Force (Medusa),1,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.37590006991295405,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.33452353194253265,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3773446110480042,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3762570965055589,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.41172695730441383,0,0,1,Benign,0,1,0,0,0,1,1,1,1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3791000720973702,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.38415113100266685,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.3987982185791625,0,0,1,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.1443733145549292,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34365402965569275,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3580113723148128,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34365402965569275,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3207790249660278,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.40073257283392727,0,0,1,Benign,0,1,0,0,0,1,1,1,1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34365402965569275,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.39319837262493784,0,0,1,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3586332930407961,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3861478546950031,0,1,0,Benign,0,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.3960413382264588,0,0,1,Benign,1,1,0,0,0,1,1,1,1
Brute Force (Medusa),Brute Force (Medusa),1.0,0.3056294382934411,0,1,0,Brute Force (Medusa),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3240897262088539,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.251980543826904,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.34734205502150134,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.40485594361403776,0,0,1,Benign,0,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.30947297967039694,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3107900270639696,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.40240219937950567,0,0,1,Benign,0,1,0,0,0,1,1,1,1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.2667332235939976,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.20070889581515527,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.3785694373322729,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.38167591547258306,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Brute Force (Medusa),Brute Force (Medusa),1.0,0.2711795710692815,0,1,0,Brute Force (Medusa),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.38854731013007526,0,1,0,Benign,0,1,0,0,0,1,1,1,1
Benign,Benign,0.98,0.2867434798789648,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.33452353194253265,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.38167591547258306,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34713789604440626,0,1,0,Brute Force (Hydra),0,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.12835066085347502,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.3661771340802321,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3866824460473985,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.17895011564388752,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.3866824460473985,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3338271059602443,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Brute Force (Medusa),Brute Force (Medusa),1.0,0.3454101653068493,0,1,0,Brute Force (Medusa),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.38167591547258306,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.34558389965887065,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.38842341570835504,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.33020550638303864,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.3926323354527531,0,0,1,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.38689600452137624,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.416633194590374,0,0,1,Benign,0,1,0,0,0,1,1,1,1
Brute Force (Medusa),Brute Force (Medusa),1.0,0.3183437433548568,0,1,0,Brute Force (Medusa),0,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.39816418465244957,0,0,1,Benign,0,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.3417379611150899,0,1,0,Benign,0,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.0324412651322199,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3773446110480042,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3708832298921156,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Brute Force (Medusa),Brute Force (Medusa),1.0,0.3031435107246286,0,1,0,Brute Force (Medusa),1,0,-1,-1,-1,1,1,-1,-1
Brute Force (Medusa),Brute Force (Medusa),1.0,0.3454101653068493,0,1,0,Brute Force (Medusa),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.38859885346325806,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.3445631406329903,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.3975734395593436,0,0,1,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.404264537660988,0,0,1,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.31326193853741297,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.37454844687526445,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.26590110247772536,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.0987329704060238,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.3325762479436078,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
